"project_name","scope","credits_issued"
"GS1247 VPA 287 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 288 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 289 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 290 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 291 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 292 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 293 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 294 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 295 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 296 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 297 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 298 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 299 - Burkina Faso Safe Water","Community",NA
"GS1247 VPA 300 - Burkina Faso Safe Water","Community",NA
"GS 10959 VPA01 Safe Water Project in Rwanda I","Community","90275"
"GS10959 VPA02 Safe Water Project in Rwanda II","Community","90722"
"GS10959 VPA03 Safe Water Project in Rwanda III","Community","92201"
"GS10959 VPA04 Safe Water Project in Rwanda IV","Community","82046"
"GS10959 VPA05 Safe Water Project in Rwanda V","Community","93094"
"GS10959 VPA06 Safe Water Project in Rwanda VI","Community","80191"
"National Biodigester Programme Phase IV","Community",NA
"Access to Improved Cooking Solutions Programme","Community",NA
"Improved biomass cookstoves for returnees in Burundi","Community","978690"
"Cankiri Landfill Gas to Energy Project","Waste Management",NA
"Installation of High Efficiency Firewood Cookstoves in Sub-Saharan Africa","Community",NA
"GS11143: VPA 1- Installation of High Efficiency Firewood Cookstoves in Zambia","Community",NA
"Afyon Landfill Gas to Energy Project","Waste Management",NA
"TASC Clean Cooking PoA – VPA 1 (Zambia)","Community","1207845"
"Energy Efficient Stoves Program","Community",NA
"Energy Efficient Stoves Program - CPA1","Community","70588"
"Energy Efficient Stoves Program - CPA 2","Community","68573"
"Energy Efficient Stoves Program - CPA 3","Community","68023"
"GS10959 VPA07 Safe Water Project in Bangladesh I","Community","48146"
"GS10959 VPA08 Safe Water Project in Bangladesh II","Community","45805"
"GS10959 VPA09 Safe Water Project in Bangladesh III","Community","48966"
"GS10959 VPA10 Safe Water Project in Bangladesh IV","Community","35492"
"GS5658 VPA 38: Fuel-efficient cookstoves for the resilience of rural communities in Burundi","Community","13349"
"GS5658 VPA 39: Fuel-efficient cookstoves for the resilience of rural communities in Burundi","Community",NA
"GS5658 VPA 40: Fuel-efficient cookstoves for the resilience of rural communities in Burundi","Community",NA
"PoA for the dissemination of clean cooking technologies in households and communities","Community",NA
"Aqua Clara Safe Water Program","Community","13706"
"Decentralized Clean Cooking for Smallholder Farmers in Mexico","Community",NA
"GS1247 VPA 301 - Togo Safe Water","Community",NA
"GS1247 VPA 302 - Togo Safe Water","Community",NA
"GS1247 VPA 303 - Togo Safe Water","Community",NA
"GS1247 VPA 304 - Togo Safe Water","Community",NA
"GS1247 VPA 305 - Togo Safe Water","Community",NA
"GS1247 VPA 306 - Togo Safe Water","Community",NA
"GS1247 VPA 307 - Togo Safe Water","Community",NA
"GS1247 VPA 308 - Togo Safe Water","Community",NA
"GS1247 VPA 309 - Togo Safe Water","Community",NA
"GS1247 VPA 310 - Togo Safe Water","Community",NA
"Afstor Solar Cooker","Community",NA
"West Guji Improved Cook Stove Distribution project","Community",NA
"GS7591 VPA 45 Murang'a Improved Cookstove Project","Community",NA
"Improved Cookstove and Safe Water Programme","Community",NA
"Biogas Programme Nicaragua - Programa de Biogás Nicaragua (PBN)","Community",NA
"Household biogas plants in selected districts of Assam","Community","16923"
"BioLite Improved Cook stoves Programme","Community",NA
"CPA 003 – BioLite HomeStove in Kenya","Community","48489"
"CPA 008 – Charcoal Stoves in Kenya","Community","82298"
"CPA 009 – Charcoal Stoves in Kenya","Community","90570"
"CPA 041 – BioLite HomeStove in Kenya","Community","1600"
"CPA 051 – Charcoal Stoves in Kenya","Community","60986"
"CPA 052 – Charcoal Stoves in Kenya","Community","47738"
"CPA 053 – Charcoal Stoves in Kenya","Community","93128"
"CPA 054 – Charcoal Stoves in Kenya","Community","85541"
"CPA 055 – Charcoal Stoves in Kenya","Community","50171"
"Waste composting project in Madagascar","Waste Management",NA
"VPA - Spouts 6","Community",NA
"CPA 007 – BioLite HomeStove in Uganda","Community",NA
"GS7591 VPA 46 Improved Cookstove Distribution in Kayonza Bugesera and Nyamasheke Districts of Rwanda (GS11205)","Community","91024"
"GS7591 VPA 47 Malawi Improved Cookstove Project","Community",NA
"Multi-Layer Household Water Filtration System in Kenya","Community","1024984"
"Golden Union Shipping Retrofit Project 1","Transportation",NA
"Production and sale of efficient cookstoves in the urban areas of Maputo Province","Community","91830"
"UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-8","Community",NA
"Community Carbon Efficient Cooking Programme VPA-9","Community","5931"
"GS1247 VPA 311 Guatemala Improved Cookstoves Project","Community","13733"
"GS1247 VPA 312 Guatemala Improved Cookstoves Project","Community","6439"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA003","Community","92577"
"Mondi Tire Kutsan Anaerobic Plant","Waste Management",NA
"Ganzhou Swine Farm Animal Manure Management System GHG Mitigation Project","Agriculture","709594"
"PANAB CORLU BIOGAS PLANT","Waste Management",NA
"PANAB TEKIRDAG BIOGAS PLANT","Waste Management",NA
"BioLite Improved Cook stoves Programme - CPA 014 supported by Republic of Korea","Community","55633"
"BioLite Improved Cook stoves Programme - CPA 015 supported by Republic of Korea","Community","53592"
"BioLite Improved Cook stoves Programme - CPA 016 supported by Republic of Korea","Community","46861"
"BioLite Improved Cook stoves Programme - CPA 017 supported by Republic of Korea","Community","48079"
"BioLite Improved Cook stoves Programme - CPA 018 supported by Republic of Korea","Community","51621"
"BioLite Improved Cook stoves Programme - CPA 019 supported by Republic of Korea","Community","45500"
"BioLite Improved Cook stoves Programme - CPA 020 supported by Republic of Korea","Community","3514"
"BioLite Improved Cook stoves Programme - CPA 021 supported by Republic of Korea","Community","3362"
"BioLite Improved Cook stoves Programme - CPA 022 supported by Republic of Korea","Community","3522"
"BioLite Improved Cook stoves Programme - CPA 028 supported by Republic of Korea","Community","44403"
"Ji'an Swine Farm Animal Manure Management System GHG Mitigation Project","Agriculture","647966"
"Shangrao Swine Farm Animal Manure Management System GHG Mitigation Project","Agriculture","580446"
"Native Hydraid Water Filtration in Kenya","Community","69874"
"Utilization of waste gas from DRI Kiln for power generation in Raipur India","Industrial/Commercial",NA
"Fair Climate Programme for Sustainable Household Energy (PoA)","Community",NA
"Community Carbon Safe Water Drinking Programme VPA10","Community",NA
"Fair Climate Programme for Sustainable Household Energy (PoA) - Fair Climate Programme: Bachat project - Odisha India (VPA 1)","Community","6703"
"Fair Climate Programme for Sustainable Household Energy (PoA) - Fair Climate Programme: Project Exhale - Maharashtra India (VPA 4)","Community","5547"
"GS1247 VPA 314 GivePower Haiti Solar Water Farms","Community",NA
"GS1247 VPA 313 GivePower Haiti Solar Water Farms","Community",NA
"GS1247 VPA 315 GivePower Haiti Solar Water Farms","Community",NA
"Clean Cooking and Safe Water Supply in Africa by EcoAct","Community",NA
"Muyuan Nanyang Swine Farm Animal Waste Management System GHG Mitigation Project","Agriculture","778651"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 01","Community","148697"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 02","Community","145603"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 03","Community","147683"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 04","Community","144040"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 05","Community","158438"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 06","Community","122137"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 07","Community","169523"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 08","Community","152782"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 09","Community","144836"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 10","Community","150892"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 11","Community","146643"
"SKG Sangha Biodigester PoA","Community",NA
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 12","Community","152398"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 13","Community","122226"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 14","Community","137196"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 15","Community","150586"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 16","Community","140134"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 17","Community","148154"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 18","Community","147863"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 19","Community","149559"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 20","Community","151569"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 21","Community","164541"
"GS1127 SKG Sangha Biodigester PoA - Gulbarga Biodigester Project CPA1","Community","314458"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 22","Community","154129"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 23","Community","141199"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 24","Community","135693"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 25","Community","147294"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 26","Community","141660"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 27","Community","144201"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 28","Community","122699"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 29","Community","77248"
"Improved Cookstove and Safe Water Programme – Nigeria – VPA 30","Community","142830"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 31","Community","90369"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 32","Community","96269"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 33","Community","102868"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 34","Community","105422"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 35","Community","104411"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 36","Community","107747"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 37","Community","108301"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 38","Community","106478"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 39","Community","107968"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 40","Community","101894"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 41","Community","108183"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 42","Community","103555"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 43","Community","90033"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 44","Community","99088"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 45","Community","101507"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 46","Community","39606"
"Improved Cookstove and Safe Water Programme – Kenya – VPA 47","Community","29259"
"Improved Cookstove and Safe Water Programme - Nigeria - VPA 48","Community","39949"
"Healthy cooking initiative for Tea Estate Workers of Nepal","Community","9292"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA004","Community","90329"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA005","Community","86507"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA006","Community","83458"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA007","Community","80629"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA008","Community","64776"
"Enkima stoves","Community",NA
"UpEnergy-Social and Climate Impact Programme- Safe Water VPA-11","Community",NA
"UpEnergy-Social and Climate Impact Programme- Safe Water VPA-12","Community",NA
"UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-13","Community",NA
"UpEnergy-Social and Climate Impact Programme- Cooking Devices VPA-14","Community",NA
"Congo (DRC) Improved Cook Stoves Programme","Community",NA
"Congo (DRC) Improved Cook Stoves VPA 001– Limete","Community","66250"
"GS11324 - VPA002 - Congo (DRC) Improved Cook Stoves-Kinshasa","Community","61435"
"Congo (DRC) Improved Cook Stoves VPA 003– Ngaliema","Community","53702"
"Beam Mobility Micromobility","Transportation",NA
"Circle Gas LPG Smart Meter Program","Community",NA
"Circle Gas LPG Smart Meter Program in Kenya","Community","1014183"
"Swine Farm Animal Manure Management System GHG Mitigation Project in Hubei Province","Agriculture",NA
"Heilongjiang Swine Farm Animal Waste Management System GHG Mitigation Project","Agriculture","1025672"
"Shuangbaotai Animal Manure Management System GHG Mitigation Project in Guangdong Province","Agriculture","264858"
"Shuangbaotai Animal Manure Management System GHG Mitigation Project in Guangxi Province","Agriculture","260692"
"Shuangbaotai Animal Manure Management System GHG Mitigation Project in Jiangxi Province","Agriculture","1077501"
"Shuangbaotai Animal Manure Management System GHG Mitigation Project in Anhui Province","Agriculture","224980"
"Kuzey Biogas Energy Project","Waste Management",NA
"ADIYAMAN LANDFILL PLANT","Waste Management",NA
"Kenya biomass gasification for clean cooking","Community","5200"
"VPA - Spouts 7","Community",NA
"VPA - Spouts 8","Community",NA
"VPA - Spouts 9","Community",NA
"Fuel-Switch Project Deriving Carbon Assets from the Use of Non-Edible Raw Agriculture-Derived Oil System (NERADO System) To Replace Heavy Fuel Oil For Aluminum Dross Recycling In Malaysia","Industrial/Commercial",NA
"CPA # 6 Improved Cooking Stoves for Nigeria","Community",NA
"Efficient Kitchens in India","Community","50821"
"Installation of High Efficiency Firewood Cookstoves in Malawi","Community",NA
"Gauteng Free State Mpumalanga Limpopo & Northern Cape CFL Replacement Project (1) in South Africa","Community",NA
"India Dairy Biogas Program","Community","52534"
"North West KwaZulu-Natal & Eastern Cape CFL Replacement Project (2) in South Africa","Community",NA
"CFL Replacement Programme of Activities in South Africa","Community",NA
"Greenlandfill_Meknès","Waste Management",NA
"Sustainable Water Purification Programme","Community",NA
"VPA 1: The MomCare Project","Community",NA
"Historical Roll Out GS Large Scale VER Project","Community",NA
"Make Wells Live","Community",NA
"The Breathing Space Improved Cooking Stoves Programme India – VPA No. 16 Envirofit","Community","110459"
"GS5658 VPA 41: Water is Life Madagascar","Community",NA
"Installation of Household Biogas plants in Punjab - 1","Community","70050"
"Installation of Household Biogas plants in various states of India","Community","110341"
"CPA B11001 – Bagendung Landfill Gas Recovery","Waste Management",NA
"GS10789 VPA4: Efficient and Clean Cooking for households in Kenya","Community","88112"
"GS10789 VPA5: Efficient and Clean Cooking for households in the Democratic Republic of Congo (DRC)","Community","142727"
"GS10789 VPA6: Efficient and Clean Cooking for households in Cote d'Ivoire","Community","62971"
"GS10789 VPA7: Efficient and Clean Cooking for households in the Democratic Republic of Congo (DRC)","Community",NA
"Installation of Household biogas plants in India","Community","80880"
"Alternate Wetting and Drying Technology for Climate Compatible Rice Cultivation in Nepal plains","Agriculture",NA
"GS10884 - KOKO Kenya - Ethanol Cookstoves Program - CPA-0002","Community","3407420"
"Bundled household biogas plants project in Jammu and Punjab","Community","26244"
"Water and Climate – Multi-country PoA","Community",NA
"Water and Climate VPA #1 – Madhya Pradesh India","Community","58687"
"Water and Climate VPA #2 – Madhya Pradesh India","Community","25855"
"MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India","Community",NA
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 17 - GS11451","Community","68813"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 32 - GS11452","Community",NA
"Improved Cookstoves Programme in Nepal by Renewable World","Community",NA
"Implementation of Bio digestors in rural areas of Madhya Pradesh India","Community","66643"
"Expanding access to LPG in Burkina Faso through microfranchised distribution","Community","40055"
"S2 Cameroun (Noun and Mifi departments) Cookstove VPA 002","Community",NA
"Anakot Thmei Safe Water Project","Community",NA
"Composting of municipal organic waste in Lome","Waste Management","8351"
"Livelihoods Chitetezo Mbaula Project","Community",NA
"Improved Cookstoves Programme in Nepal by Renewable World- VPA-001","Community",NA
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 02 - GS11474","Community","136678"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 03 - GS11475","Community","98057"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 04 - GS11476","Community","90953"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 07 - GS11477","Community","105010"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 08 - GS11478","Community","77016"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 09 - GS11479","Community","82871"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 10 - GS11480","Community","65866"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 11 - GS11481","Community","93410"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 12 - GS11482","Community","346582"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 13 - GS11483","Community","152786"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 14 - GS11484","Community","147136"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 15 - GS11485","Community","32780"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 18 - GS11486","Community","66392"
"Improved Cooking Stoves in Bangladesh – CPA No.20 ""SZ Consultancy Services Ltd.""","Community","514941"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 34 - GS11489","Community","68829"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 33 - GS11490","Community","152306"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 31 - GS11491","Community","165641"
"MicroEnergy Credits PoA – CPA 30 – Clear Sky Partners","Community",NA
"MicroEnergy Credits PoA – CPA 29 – Clear Sky Partners","Community",NA
"MicroEnergy Credits PoA – CPA 28 – Clear Sky Partners","Community",NA
"MicroEnergy Credits PoA – CPA 27 – Clear Sky Partners","Community",NA
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 26 - Clear Sky Partners – GS11496","Community","55288"
"MicroEnergy Credits PoA – CPA 25 – Clear Sky Partners","Community",NA
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 24 - Clear Sky Partners – GS11498","Community","63254"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 23 - Clear Sky Partners – GS11499","Community","57955"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 22 - Clear Sky Partners – GS11500","Community","74611"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 21 - Clear Sky Partners – GS11501","Community","103884"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 20 - Clear Sky Partners – GS11502","Community",NA
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 19 - Clear Sky Partners – GS11503","Community","69441"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 05 - GS11504","Community","76391"
"GS11450 - MicroEnergy Credits – Microfinance for Clean Energy Product Lines – India - CPA 06 - GS11505","Community","99479"
"Fair Climate Programme for Advanced Biomass Cooking Solutions (PoA)","Community",NA
"GS11506 VPA1: Advanced Biomass Cooking Solutions by Biomassters in Rwanda","Community",NA
"Clean Cooking Programme for Biomass Gasification (PoA)","Community",NA
"GS11508 VPA1: Clean Cooking with Biomass Gasification in Zambia","Community",NA
"Up Energy Improved Cookstoves Programme Uganda – CPA No 024 supported by Republic of Korea","Community","30270"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 025 supported by Republic of Korea","Community","29844"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 026 supported by Republic of Korea","Community","29436"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 027 supported by Republic of Korea","Community","29165"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 028 supported by Republic of Korea","Community","28800"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 029 supported by Republic of Korea","Community","28529"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 030 supported by Republic of Korea","Community","28267"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 031 supported by Republic of Korea","Community","28063"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 032 supported by Republic of Korea","Community","27884"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 033 supported by Republic of Korea","Community","27825"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 034 supported by Republic of Korea","Community","27615"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 035 supported by Republic of Korea","Community","27402"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 036 supported by Republic of Korea","Community","27160"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 037 supported by Republic of Korea","Community","26869"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 038 supported by Republic of Korea","Community","26625"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 039 supported by Republic of Korea","Community","26422"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 040 supported by Republic of Korea","Community","26307"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 041 supported by Republic of Korea","Community","26096"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 042 supported by Republic of Korea","Community","25565"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 043 supported by Republic of Korea","Community","24804"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 044 supported by Republic of Korea","Community","24215"
"Up Energy Improved Cookstoves Programme Uganda – CPA No 045 supported by Republic of Korea","Community","23652"
"Clean Electric Cooking for Households in Malawi","Community",NA
"Dongming County Municipal Solid Waste Disposal Site Biogas Electricity Generation Project","Waste Management",NA
"Zhangjiajie  Meitanwan MSW landfill site LFG recovery to power project","Waste Management",NA
"Bundling of household biogas plants for thermal energy applications","Community","70181"
"Zone 3 Landfill Gas Project","Waste Management",NA
"Improved Cookstove Distribution Project in India by EKIESL (VPA-001)","Community",NA
"Maji Safi Maisha Bora Project","Community",NA
"LAYA PRAGATHI Improved Cook stove Project","Community",NA
"SUVDIHA's Decentralized Energy Interventions for Rural Communities in India","Community",NA
"SUVIDHA's Decentralized Energy Interventions for Rural Communities in India VPA – 1 (Uttarakhand)","Community",NA
"SUVIDHA's Decentralized Energy Interventions for Rural Communities in India VPA – 2 (Assam)","Community",NA
"SUVIDHA's Decentralized Energy Interventions for Rural Communities in India VPA – 3 (Odisha)","Community",NA
"TASC Clean Cooking PoA – VPA 2 (Zimbabwe)","Community","656464"
"FPD Robotic E-waste Recycling Project","Waste Management",NA
"GS1385 Man and Man Enterprise Improved Cooking Stoves Programme in Ghana - VPA002 (Western Region)","Community","89176"
"Fuel-efficient cookstoves for cocoa-producing communities","Community",NA
"Efficiency Plus Stoves (Fogoes + Eficientes)","Community",NA
"Battery Electric Vessels for Costa Rica","Transportation",NA
"Biodigesters program for a low-carbon livestock sector in Vietnam (BioLive)","Community","64820"
"Improved cookstove program in Bangladesh supported by the Republic of Korea","Community",NA
"Improved cookstove program in Bangladesh supported by the Republic of Korea-CPA 02","Community","1145274"
"Improved cookstove program in Bangladesh supported by the Republic of Korea-CPA 03","Community","1145275"
"Garo Hills Improved Cookstove Project India","Community",NA
"PoA for the Reduction of emission non-renewable fuel from cooking at household level","Community",NA
"Programme of Activities for Shipping Energy Efficiency Retrofits","Transportation",NA
"Beyond Biomass: UpEnergy Electric Cooking","Community",NA
"Beyond Biomass: UpEnergy Electric Cooking-VPA 1","Community",NA
"Beyond Biomass: UpEnergy Electric Cooking-VPA 2","Community",NA
"Beyond Biomass: UpEnergy Electric Cooking-VPA 3","Community",NA
"Beyond Biomass: UpEnergy Electric Cooking-VPA 4","Community",NA
"Beyond Biomass: UpEnergy Electric Cooking-VPA 5","Community",NA
"Beyond Biomass: UpEnergy Electric Cooking-VPA 6","Community",NA
"Beyond Biomass: UpEnergy Electric Cooking-VPA 7","Community",NA
"Beyond Biomass: UpEnergy Electric Cooking-VPA 8","Community",NA
"Hongwang Animal Manure Management System GHG Mitigation Project in Fangcheng County","Agriculture",NA
"Waste Management PoA in India- Biogas for thermal applications- VPA 5","Agriculture",NA
"Dengzhou AMMS GHG Mitigation Project","Agriculture","430256"
"TASC Clean Cooking PoA – VPA 3 (Zambia)","Community","1243914"
"Distributed Emission Reductions by Bboxx Energy Solutions","Community",NA
"Gonen Biogas Plant","Agriculture",NA
"GS10789 VPA8: Efficient and Clean Cooking for households in Kenya","Community","40618"
"TASC Clean Cooking PoA – VPA 4 (Zambia)","Community","8962"
"GS10789 VPA9: Efficient and Clean Cooking for households in Mozambique","Community","45113"
"GS10789 VPA10: Efficient and Clean Cooking for households in Mozambique","Community","9141"
"Top Third Ventures Stove Programme","Community",NA
"Top Third Ventures Stove Programme CPA KE0002 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea","Community","84361"
"Top Third Ventures Stove Programme CPA KE0003 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea","Community","84951"
"The first phase of Anhua Rural household Biodigester Project","Community","29161"
"Top Third Ventures Stove Programme CPA KE0004 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea","Community","84242"
"Top Third Ventures Stove Programme CPA KE0005 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea","Community","83996"
"Top Third Ventures Stove Programme CPA KE0006 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea","Community","85248"
"Top Third Ventures Stove Programme CPA KE0007 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea","Community","59954"
"Top Third Ventures Stove Programme CPA KE0008 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea","Community","301603"
"MicroEnergy Credits – Microfinance for Clean Energy Product Lines - Mongolia","Community",NA
"MicroEnergy Credits – Microfinance for Clean Energy Product Lines - Mongolia –CPA No.001: XacBank LLC","Community","110631"
"MicroEnergy Credits – Microfinance for Clean Energy Product Lines - Mongolia –CPA No.002: XacBank LLC","Community","90379"
"MicroEnergy Credits – Microfinance for Clean Energy Product Lines - Mongolia –CPA No.003: XacBank LLC","Community","4048"
"CPA # 1 Improved Cooking Stoves for Nigeria GS 1162","Community","66270"
"Igneo Technologies – Precious Metals and Copper Recovering and Recycling Activities Savannah GA USA","Waste Management",NA
"Permanent Sequestration of biogenic CO2 in Demolition Concrete","Industrial/Commercial",NA
"GS1385 Man and Man Enterprise Improved Cooking Stoves Programme in Ghana - VPA003","Community","107994"
"GS11623 VPA-1 CO2 Sequestration at a Concrete Recycler in Switzerland using the Neustark Technology","Industrial/Commercial","149"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA009","Community","59470"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA010","Community","57472"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA011","Community","54950"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA012","Community","51556"
"GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA013","Community","51360"
